,state,PK12ed_real,PK12ed_realperch,highered_real,highered_realperch,edsubs_real,edsubs_realperch,edservs_real,edservs_realperch,HeadStartPriv_real,HeadStartPriv_realperch,year
50,Wyoming,1542763,10.58942699432373,588395,4.038705825805663,52810,0.36248448491096497,153253,1.0519188642501829,11426.033203125,0.07842756062746048,2010
0,Alabama,6589890,5.671337604522705,1809324,1.557125687599182,675607,0.5814353823661804,317134,0.27292928099632263,115742.8828125,0.09960969537496568,2011
1,Alaska,2074993,10.626983642578123,534733,2.738611221313477,33378,0.17094393074512482,43775,0.22419171035289764,8152.02880859375,0.04175025224685669,2011
2,Arizona,7137123,4.145819187164307,2563081,1.4888451099395752,658760,0.3826611638069153,47786,0.02775797992944717,83407.234375,0.04844967648386955,2011
3,Arkansas,4411761,5.927897930145264,1551943,2.0852806568145748,478104,0.6424082517623901,137966,0.18537911772727966,81667.1328125,0.10973269492387773,2011
4,California,68892072,7.165300369262695,26706188,2.7776470184326167,5182384,0.5390074253082275,1042184,0.1083950772881508,677665.625,0.07048238813877106,2011
5,Colorado,8060420,6.0621299743652335,2144389,1.612765192985535,478980,0.3602342009544373,168361,0.12662196159362793,60688.046875,0.04564263671636581,2011
6,Connecticut,8687640,10.810376167297363,1432095,1.7820128202438354,371773,0.4626119434833527,306002,0.3807704746723175,51866.7734375,0.06453989446163177,2011
7,Delaware,1832385,8.438220977783201,307848,1.4176548719406128,292436,1.346681833267212,167690,0.7722204923629761,16011.16015625,0.0737321600317955,2011
8,District of Columbia,2290288,17.657533645629886,104522,0.8058378100395203,0,0.0,0,0.0,10437.6748046875,0.08047179877758026,2011
9,Florida,24222830,5.503664016723633,6610633,1.5020004510879517,1713856,0.389404833316803,1505206,0.34199753403663635,227717.234375,0.051739580929279334,2011
10,Georgia,16563441,6.248016357421875,2497892,0.9422480463981628,1078655,0.4068873226642609,882876,0.3330360949039459,205334.71875,0.0774558037519455,2011
11,Hawaii,1843481,5.722679138183594,569970,1.7693458795547483,136682,0.4242990612983704,20822,0.06463729590177536,28455.359375,0.0883333757519722,2011
12,Idaho,1935653,4.201137065887451,555758,1.2062159776687622,84503,0.18340513110160828,121847,0.26445648074150085,19649.271484375,0.04264673963189125,2011
13,Illinois,23933484,7.7321343421936035,5063521,1.6358598470687866,1016816,0.328500360250473,678826,0.21930672228336331,256523.296875,0.08287438005208969,2011
14,Indiana,8643916,5.200248718261719,2281517,1.3725788593292236,958748,0.576790452003479,226503,0.13626600801944733,101212.28125,0.06089011579751968,2011
15,Iowa,5517359,7.137380123138428,1521209,1.9678703546524048,352054,0.4554249942302704,138795,0.17954833805561066,59927.13671875,0.07752309739589691,2011
16,Kansas,4532902,6.009279727935791,1587725,2.104851245880127,140874,0.1867570281028748,134892,0.1788266748189926,38693.7109375,0.051296353340148926,2011
17,Kentucky,6283316,5.881508827209473,2284017,2.13795804977417,902931,0.845190167427063,142462,0.13335180282592773,96003.7265625,0.08986445516347885,2011
18,Louisiana,7295542,6.219202995300293,1471251,1.254191756248474,943835,0.8045874834060669,638712,0.5444803833961487,129757.8203125,0.11061415821313858,2011
19,Maine,2290535,8.453936576843263,431105,1.5911279916763306,112764,0.4161908626556397,109150,0.4028522670269013,33982.1953125,0.12542194128036502,2011
20,Maryland,10459539,7.3280863761901855,3036921,2.1277055740356445,490603,0.3437227308750153,304463,0.21331065893173215,69009.3984375,0.04834886640310288,2011
21,Massachusetts,13998163,9.491463661193848,1776460,1.204529881477356,908508,0.6160144805908203,748445,0.5074836611747742,127018.546875,0.08612501621246338,2011
22,Michigan,15328155,6.589707851409912,4715173,2.0270941257476807,1108190,0.4764205813407898,204733,0.08801651000976562,224288.40625,0.09642355144023897,2011
23,Minnesota,9987116,7.341189861297607,2706146,1.9891959428787231,645763,0.4746784567832947,324120,0.2382495999336243,84248.8515625,0.06192846968770027,2011
24,Mississippi,4077663,5.354270935058594,1592685,2.0913124084472656,311972,0.40964215993881226,247798,0.3253769874572754,183636.875,0.24112871289253235,2011
25,Missouri,8996869,6.148110866546631,1453645,0.9933645725250244,425038,0.2904544770717621,353074,0.2412770688533783,142623.5625,0.09746340662240982,2011
26,Montana,1598517,6.667794227600098,462347,1.9285591840744016,72585,0.302769273519516,40880,0.17052020132541654,16818.470703125,0.07015383988618851,2011
27,Nebraska,3728426,7.474581718444824,1261681,2.529361724853516,151696,0.30411335825920105,164605,0.32999274134635925,30818.099609375,0.06178274750709534,2011
28,Nevada,3944218,5.543252468109131,795280,1.1176962852478027,372990,0.5242047309875488,136410,0.19171229004859924,29532.96484375,0.04150598868727684,2011
29,New Hampshire,2737576,9.824142456054688,230909,0.8286466002464294,158005,0.5670212507247925,58262,0.20908066630363464,16817.54296875,0.06035191193223,2011
30,New Jersey,24349836,11.593923568725586,2523435,1.201507568359375,1111637,0.529294490814209,986942,0.4699222445487976,154944.875,0.07377540320158005,2011
31,New Mexico,3049749,5.859290599822997,1603530,3.0807611942291264,199306,0.3829140663146973,193911,0.3725489675998688,45717.45703125,0.08783406764268875,2011
32,New York,56656536,12.767292976379395,8618085,1.942046284675598,2005495,0.4519291818141937,-18342,-0.004133286420255899,529557.375,0.11933334916830066,2011
33,North Carolina,12620939,5.193966865539551,5286776,2.175696849822998,1177150,0.4844392240047455,735409,0.3026470243930817,170714.03125,0.07025491446256638,2011
34,North Dakota,1393844,7.546121120452881,631153,3.4169940948486333,47768,0.2586107850074768,33702,0.1824589967727661,6096.052734375,0.033003371208906174,2011
35,Ohio,20271944,7.329432964324951,2735853,0.9891627430915833,1188891,0.4298501014709473,522168,0.18879272043704987,279950.125,0.10121750831604004,2011
36,Oklahoma,4958496,4.89569902420044,1533625,1.514202356338501,426938,0.4215310215950012,225801,0.2229413241147995,87978.59375,0.08686438202857971,2011
37,Oregon,6285584,6.84322452545166,2298350,2.502253532409668,301248,0.3279739320278168,196871,0.21433688700199127,62585.9609375,0.06813842803239822,2011
38,Pennsylvania,25955384,9.129467010498047,3613647,1.2710530757904053,1070008,0.3763613104820252,766897,0.2697459757328033,196428.84375,0.06909127533435823,2011
39,Rhode Island,2297516,10.197314262390137,252539,1.1208711862564087,138556,0.6149680614471436,150646,0.668628454208374,27815.548828125,0.12345676124095915,2011
40,South Carolina,7419325,6.383631706237793,1492727,1.2843512296676636,1000541,0.8608714938163757,374320,0.32206717133522034,87698.4765625,0.07545629888772963,2011
41,South Dakota,1185796,5.29656982421875,325398,1.4534482955932615,41904,0.18717169761657715,90506,0.4042612016201019,15557.5048828125,0.06949037313461304,2011
42,Tennessee,8294165,5.232172012329102,1655029,1.0440348386764526,727236,0.4587591290473938,219964,0.13875894248485565,97814.296875,0.06170377135276794,2011
43,Texas,43287224,5.629720211029053,15507047,2.0167691707611084,1663400,0.2163335084915161,632473,0.08225627988576889,386600.0,0.050279267132282264,2011
44,Utah,3931265,4.073486804962158,2079344,2.1545686721801762,263480,0.2730119526386261,265851,0.27546870708465576,45450.6796875,0.04709495231509209,2011
45,Vermont,1536843,12.033190727233887,242246,1.896740436553955,126279,0.9887407422065736,71525,0.5600272417068481,14484.56640625,0.11341141909360886,2011
46,Virginia,14385736,7.275205135345459,2492657,1.2605953216552734,836362,0.422967940568924,161478,0.08166322112083435,87701.984375,0.044352956116199486,2011
47,Washington,12315163,7.177634716033936,3449493,2.0104646682739262,1087294,0.6337065100669861,720146,0.4197219908237457,63790.8671875,0.037179168313741684,2011
48,West Virginia,2873668,7.254246234893799,688598,1.7382868528366089,249685,0.6303012371063232,247307,0.6242982149124146,49231.984375,0.12428051233291625,2011
49,Wisconsin,9691073,7.109844207763673,3265633,2.3958277702331543,373251,0.27383515238761896,268766,0.1971798539161682,86981.96875,0.06381421536207199,2011
50,Wyoming,1542763,10.58942699432373,588395,4.038705825805663,52810,0.36248448491096497,153253,1.0519188642501829,11426.033203125,0.07842756062746048,2011
0,Alabama,6589890,5.671337604522705,1809324,1.557125687599182,675607,0.5814353823661804,317134,0.27292928099632263,115742.8828125,0.09960969537496568,2012
1,Alaska,2074993,10.626983642578123,534733,2.738611221313477,33378,0.17094393074512482,43775,0.22419171035289764,8152.02880859375,0.04175025224685669,2012
2,Arizona,7137123,4.145819187164307,2563081,1.4888451099395752,658760,0.3826611638069153,47786,0.02775797992944717,83407.234375,0.04844967648386955,2012
3,Arkansas,4411761,5.927897930145264,1551943,2.0852806568145748,478104,0.6424082517623901,137966,0.18537911772727966,81667.1328125,0.10973269492387773,2012
4,California,68892072,7.165300369262695,26706188,2.7776470184326167,5182384,0.5390074253082275,1042184,0.1083950772881508,677665.625,0.07048238813877106,2012
5,Colorado,8060420,6.0621299743652335,2144389,1.612765192985535,478980,0.3602342009544373,168361,0.12662196159362793,60688.046875,0.04564263671636581,2012
6,Connecticut,8687640,10.810376167297363,1432095,1.7820128202438354,371773,0.4626119434833527,306002,0.3807704746723175,51866.7734375,0.06453989446163177,2012
7,Delaware,1832385,8.438220977783201,307848,1.4176548719406128,292436,1.346681833267212,167690,0.7722204923629761,16011.16015625,0.0737321600317955,2012
8,District of Columbia,2290288,17.657533645629886,104522,0.8058378100395203,0,0.0,0,0.0,10437.6748046875,0.08047179877758026,2012
9,Florida,24222830,5.503664016723633,6610633,1.5020004510879517,1713856,0.389404833316803,1505206,0.34199753403663635,227717.234375,0.051739580929279334,2012
10,Georgia,16563441,6.248016357421875,2497892,0.9422480463981628,1078655,0.4068873226642609,882876,0.3330360949039459,205334.71875,0.0774558037519455,2012
11,Hawaii,1843481,5.722679138183594,569970,1.7693458795547483,136682,0.4242990612983704,20822,0.06463729590177536,28455.359375,0.0883333757519722,2012
12,Idaho,1935653,4.201137065887451,555758,1.2062159776687622,84503,0.18340513110160828,121847,0.26445648074150085,19649.271484375,0.04264673963189125,2012
13,Illinois,23933484,7.7321343421936035,5063521,1.6358598470687866,1016816,0.328500360250473,678826,0.21930672228336331,256523.296875,0.08287438005208969,2012
14,Indiana,8643916,5.200248718261719,2281517,1.3725788593292236,958748,0.576790452003479,226503,0.13626600801944733,101212.28125,0.06089011579751968,2012
15,Iowa,5517359,7.137380123138428,1521209,1.9678703546524048,352054,0.4554249942302704,138795,0.17954833805561066,59927.13671875,0.07752309739589691,2012
16,Kansas,4532902,6.009279727935791,1587725,2.104851245880127,140874,0.1867570281028748,134892,0.1788266748189926,38693.7109375,0.051296353340148926,2012
17,Kentucky,6283316,5.881508827209473,2284017,2.13795804977417,902931,0.845190167427063,142462,0.13335180282592773,96003.7265625,0.08986445516347885,2012
18,Louisiana,7295542,6.219202995300293,1471251,1.254191756248474,943835,0.8045874834060669,638712,0.5444803833961487,129757.8203125,0.11061415821313858,2012
19,Maine,2290535,8.453936576843263,431105,1.5911279916763306,112764,0.4161908626556397,109150,0.4028522670269013,33982.1953125,0.12542194128036502,2012
20,Maryland,10459539,7.3280863761901855,3036921,2.1277055740356445,490603,0.3437227308750153,304463,0.21331065893173215,69009.3984375,0.04834886640310288,2012
21,Massachusetts,13998163,9.491463661193848,1776460,1.204529881477356,908508,0.6160144805908203,748445,0.5074836611747742,127018.546875,0.08612501621246338,2012
22,Michigan,15328155,6.589707851409912,4715173,2.0270941257476807,1108190,0.4764205813407898,204733,0.08801651000976562,224288.40625,0.09642355144023897,2012
23,Minnesota,9987116,7.341189861297607,2706146,1.9891959428787231,645763,0.4746784567832947,324120,0.2382495999336243,84248.8515625,0.06192846968770027,2012
24,Mississippi,4077663,5.354270935058594,1592685,2.0913124084472656,311972,0.40964215993881226,247798,0.3253769874572754,183636.875,0.24112871289253235,2012
25,Missouri,8996869,6.148110866546631,1453645,0.9933645725250244,425038,0.2904544770717621,353074,0.2412770688533783,142623.5625,0.09746340662240982,2012
26,Montana,1598517,6.667794227600098,462347,1.9285591840744016,72585,0.302769273519516,40880,0.17052020132541654,16818.470703125,0.07015383988618851,2012
27,Nebraska,3728426,7.474581718444824,1261681,2.529361724853516,151696,0.30411335825920105,164605,0.32999274134635925,30818.099609375,0.06178274750709534,2012
28,Nevada,3944218,5.543252468109131,795280,1.1176962852478027,372990,0.5242047309875488,136410,0.19171229004859924,29532.96484375,0.04150598868727684,2012
29,New Hampshire,2737576,9.824142456054688,230909,0.8286466002464294,158005,0.5670212507247925,58262,0.20908066630363464,16817.54296875,0.06035191193223,2012
30,New Jersey,24349836,11.593923568725586,2523435,1.201507568359375,1111637,0.529294490814209,986942,0.4699222445487976,154944.875,0.07377540320158005,2012
31,New Mexico,3049749,5.859290599822997,1603530,3.0807611942291264,199306,0.3829140663146973,193911,0.3725489675998688,45717.45703125,0.08783406764268875,2012
32,New York,56656536,12.767292976379395,8618085,1.942046284675598,2005495,0.4519291818141937,-18342,-0.004133286420255899,529557.375,0.11933334916830066,2012
33,North Carolina,12620939,5.193966865539551,5286776,2.175696849822998,1177150,0.4844392240047455,735409,0.3026470243930817,170714.03125,0.07025491446256638,2012
34,North Dakota,1393844,7.546121120452881,631153,3.4169940948486333,47768,0.2586107850074768,33702,0.1824589967727661,6096.052734375,0.033003371208906174,2012
35,Ohio,20271944,7.329432964324951,2735853,0.9891627430915833,1188891,0.4298501014709473,522168,0.18879272043704987,279950.125,0.10121750831604004,2012
36,Oklahoma,4958496,4.89569902420044,1533625,1.514202356338501,426938,0.4215310215950012,225801,0.2229413241147995,87978.59375,0.08686438202857971,2012
37,Oregon,6285584,6.84322452545166,2298350,2.502253532409668,301248,0.3279739320278168,196871,0.21433688700199127,62585.9609375,0.06813842803239822,2012
38,Pennsylvania,25955384,9.129467010498047,3613647,1.2710530757904053,1070008,0.3763613104820252,766897,0.2697459757328033,196428.84375,0.06909127533435823,2012
39,Rhode Island,2297516,10.197314262390137,252539,1.1208711862564087,138556,0.6149680614471436,150646,0.668628454208374,27815.548828125,0.12345676124095915,2012
40,South Carolina,7419325,6.383631706237793,1492727,1.2843512296676636,1000541,0.8608714938163757,374320,0.32206717133522034,87698.4765625,0.07545629888772963,2012
41,South Dakota,1185796,5.29656982421875,325398,1.4534482955932615,41904,0.18717169761657715,90506,0.4042612016201019,15557.5048828125,0.06949037313461304,2012
42,Tennessee,8294165,5.232172012329102,1655029,1.0440348386764526,727236,0.4587591290473938,219964,0.13875894248485565,97814.296875,0.06170377135276794,2012
43,Texas,43287224,5.629720211029053,15507047,2.0167691707611084,1663400,0.2163335084915161,632473,0.08225627988576889,386600.0,0.050279267132282264,2012
44,Utah,3931265,4.073486804962158,2079344,2.1545686721801762,263480,0.2730119526386261,265851,0.27546870708465576,45450.6796875,0.04709495231509209,2012
45,Vermont,1536843,12.033190727233887,242246,1.896740436553955,126279,0.9887407422065736,71525,0.5600272417068481,14484.56640625,0.11341141909360886,2012
46,Virginia,14385736,7.275205135345459,2492657,1.2605953216552734,836362,0.422967940568924,161478,0.08166322112083435,87701.984375,0.044352956116199486,2012
47,Washington,12315163,7.177634716033936,3449493,2.0104646682739262,1087294,0.6337065100669861,720146,0.4197219908237457,63790.8671875,0.037179168313741684,2012
48,West Virginia,2873668,7.254246234893799,688598,1.7382868528366089,249685,0.6303012371063232,247307,0.6242982149124146,49231.984375,0.12428051233291625,2012
49,Wisconsin,9691073,7.109844207763673,3265633,2.3958277702331543,373251,0.27383515238761896,268766,0.1971798539161682,86981.96875,0.06381421536207199,2012
50,Wyoming,1542763,10.58942699432373,588395,4.038705825805663,52810,0.36248448491096497,153253,1.0519188642501829,11426.033203125,0.07842756062746048,2012
0,Alabama,6589890,5.671337604522705,1809324,1.557125687599182,675607,0.5814353823661804,317134,0.27292928099632263,115742.8828125,0.09960969537496568,2013
1,Alaska,2074993,10.626983642578123,534733,2.738611221313477,33378,0.17094393074512482,43775,0.22419171035289764,8152.02880859375,0.04175025224685669,2013
2,Arizona,7137123,4.145819187164307,2563081,1.4888451099395752,658760,0.3826611638069153,47786,0.02775797992944717,83407.234375,0.04844967648386955,2013
3,Arkansas,4411761,5.927897930145264,1551943,2.0852806568145748,478104,0.6424082517623901,137966,0.18537911772727966,81667.1328125,0.10973269492387773,2013
4,California,68892072,7.165300369262695,26706188,2.7776470184326167,5182384,0.5390074253082275,1042184,0.1083950772881508,677665.625,0.07048238813877106,2013
5,Colorado,8060420,6.0621299743652335,2144389,1.612765192985535,478980,0.3602342009544373,168361,0.12662196159362793,60688.046875,0.04564263671636581,2013
6,Connecticut,8687640,10.810376167297363,1432095,1.7820128202438354,371773,0.4626119434833527,306002,0.3807704746723175,51866.7734375,0.06453989446163177,2013
7,Delaware,1832385,8.438220977783201,307848,1.4176548719406128,292436,1.346681833267212,167690,0.7722204923629761,16011.16015625,0.0737321600317955,2013
8,District of Columbia,2290288,17.657533645629886,104522,0.8058378100395203,0,0.0,0,0.0,10437.6748046875,0.08047179877758026,2013
9,Florida,24222830,5.503664016723633,6610633,1.5020004510879517,1713856,0.389404833316803,1505206,0.34199753403663635,227717.234375,0.051739580929279334,2013
10,Georgia,16563441,6.248016357421875,2497892,0.9422480463981628,1078655,0.4068873226642609,882876,0.3330360949039459,205334.71875,0.0774558037519455,2013
11,Hawaii,1843481,5.722679138183594,569970,1.7693458795547483,136682,0.4242990612983704,20822,0.06463729590177536,28455.359375,0.0883333757519722,2013
12,Idaho,1935653,4.201137065887451,555758,1.2062159776687622,84503,0.18340513110160828,121847,0.26445648074150085,19649.271484375,0.04264673963189125,2013
13,Illinois,23933484,7.7321343421936035,5063521,1.6358598470687866,1016816,0.328500360250473,678826,0.21930672228336331,256523.296875,0.08287438005208969,2013
14,Indiana,8643916,5.200248718261719,2281517,1.3725788593292236,958748,0.576790452003479,226503,0.13626600801944733,101212.28125,0.06089011579751968,2013
15,Iowa,5517359,7.137380123138428,1521209,1.9678703546524048,352054,0.4554249942302704,138795,0.17954833805561066,59927.13671875,0.07752309739589691,2013
16,Kansas,4532902,6.009279727935791,1587725,2.104851245880127,140874,0.1867570281028748,134892,0.1788266748189926,38693.7109375,0.051296353340148926,2013
17,Kentucky,6283316,5.881508827209473,2284017,2.13795804977417,902931,0.845190167427063,142462,0.13335180282592773,96003.7265625,0.08986445516347885,2013
18,Louisiana,7295542,6.219202995300293,1471251,1.254191756248474,943835,0.8045874834060669,638712,0.5444803833961487,129757.8203125,0.11061415821313858,2013
19,Maine,2290535,8.453936576843263,431105,1.5911279916763306,112764,0.4161908626556397,109150,0.4028522670269013,33982.1953125,0.12542194128036502,2013
20,Maryland,10459539,7.3280863761901855,3036921,2.1277055740356445,490603,0.3437227308750153,304463,0.21331065893173215,69009.3984375,0.04834886640310288,2013
21,Massachusetts,13998163,9.491463661193848,1776460,1.204529881477356,908508,0.6160144805908203,748445,0.5074836611747742,127018.546875,0.08612501621246338,2013
22,Michigan,15328155,6.589707851409912,4715173,2.0270941257476807,1108190,0.4764205813407898,204733,0.08801651000976562,224288.40625,0.09642355144023897,2013
23,Minnesota,9987116,7.341189861297607,2706146,1.9891959428787231,645763,0.4746784567832947,324120,0.2382495999336243,84248.8515625,0.06192846968770027,2013
24,Mississippi,4077663,5.354270935058594,1592685,2.0913124084472656,311972,0.40964215993881226,247798,0.3253769874572754,183636.875,0.24112871289253235,2013
25,Missouri,8996869,6.148110866546631,1453645,0.9933645725250244,425038,0.2904544770717621,353074,0.2412770688533783,142623.5625,0.09746340662240982,2013
26,Montana,1598517,6.667794227600098,462347,1.9285591840744016,72585,0.302769273519516,40880,0.17052020132541654,16818.470703125,0.07015383988618851,2013
27,Nebraska,3728426,7.474581718444824,1261681,2.529361724853516,151696,0.30411335825920105,164605,0.32999274134635925,30818.099609375,0.06178274750709534,2013
28,Nevada,3944218,5.543252468109131,795280,1.1176962852478027,372990,0.5242047309875488,136410,0.19171229004859924,29532.96484375,0.04150598868727684,2013
29,New Hampshire,2737576,9.824142456054688,230909,0.8286466002464294,158005,0.5670212507247925,58262,0.20908066630363464,16817.54296875,0.06035191193223,2013
30,New Jersey,24349836,11.593923568725586,2523435,1.201507568359375,1111637,0.529294490814209,986942,0.4699222445487976,154944.875,0.07377540320158005,2013
31,New Mexico,3049749,5.859290599822997,1603530,3.0807611942291264,199306,0.3829140663146973,193911,0.3725489675998688,45717.45703125,0.08783406764268875,2013
32,New York,56656536,12.767292976379395,8618085,1.942046284675598,2005495,0.4519291818141937,-18342,-0.004133286420255899,529557.375,0.11933334916830066,2013
33,North Carolina,12620939,5.193966865539551,5286776,2.175696849822998,1177150,0.4844392240047455,735409,0.3026470243930817,170714.03125,0.07025491446256638,2013
34,North Dakota,1393844,7.546121120452881,631153,3.4169940948486333,47768,0.2586107850074768,33702,0.1824589967727661,6096.052734375,0.033003371208906174,2013
35,Ohio,20271944,7.329432964324951,2735853,0.9891627430915833,1188891,0.4298501014709473,522168,0.18879272043704987,279950.125,0.10121750831604004,2013
36,Oklahoma,4958496,4.89569902420044,1533625,1.514202356338501,426938,0.4215310215950012,225801,0.2229413241147995,87978.59375,0.08686438202857971,2013
37,Oregon,6285584,6.84322452545166,2298350,2.502253532409668,301248,0.3279739320278168,196871,0.21433688700199127,62585.9609375,0.06813842803239822,2013
38,Pennsylvania,25955384,9.129467010498047,3613647,1.2710530757904053,1070008,0.3763613104820252,766897,0.2697459757328033,196428.84375,0.06909127533435823,2013
39,Rhode Island,2297516,10.197314262390137,252539,1.1208711862564087,138556,0.6149680614471436,150646,0.668628454208374,27815.548828125,0.12345676124095915,2013
40,South Carolina,7419325,6.383631706237793,1492727,1.2843512296676636,1000541,0.8608714938163757,374320,0.32206717133522034,87698.4765625,0.07545629888772963,2013
41,South Dakota,1185796,5.29656982421875,325398,1.4534482955932615,41904,0.18717169761657715,90506,0.4042612016201019,15557.5048828125,0.06949037313461304,2013
42,Tennessee,8294165,5.232172012329102,1655029,1.0440348386764526,727236,0.4587591290473938,219964,0.13875894248485565,97814.296875,0.06170377135276794,2013
43,Texas,43287224,5.629720211029053,15507047,2.0167691707611084,1663400,0.2163335084915161,632473,0.08225627988576889,386600.0,0.050279267132282264,2013
44,Utah,3931265,4.073486804962158,2079344,2.1545686721801762,263480,0.2730119526386261,265851,0.27546870708465576,45450.6796875,0.04709495231509209,2013
45,Vermont,1536843,12.033190727233887,242246,1.896740436553955,126279,0.9887407422065736,71525,0.5600272417068481,14484.56640625,0.11341141909360886,2013
46,Virginia,14385736,7.275205135345459,2492657,1.2605953216552734,836362,0.422967940568924,161478,0.08166322112083435,87701.984375,0.044352956116199486,2013
47,Washington,12315163,7.177634716033936,3449493,2.0104646682739262,1087294,0.6337065100669861,720146,0.4197219908237457,63790.8671875,0.037179168313741684,2013
48,West Virginia,2873668,7.254246234893799,688598,1.7382868528366089,249685,0.6303012371063232,247307,0.6242982149124146,49231.984375,0.12428051233291625,2013
49,Wisconsin,9691073,7.109844207763673,3265633,2.3958277702331543,373251,0.27383515238761896,268766,0.1971798539161682,86981.96875,0.06381421536207199,2013
50,Wyoming,1542763,10.58942699432373,588395,4.038705825805663,52810,0.36248448491096497,153253,1.0519188642501829,11426.033203125,0.07842756062746048,2013
0,Alabama,6589890,5.671337604522705,1809324,1.557125687599182,675607,0.5814353823661804,317134,0.27292928099632263,115742.8828125,0.09960969537496568,2014
1,Alaska,2074993,10.626983642578123,534733,2.738611221313477,33378,0.17094393074512482,43775,0.22419171035289764,8152.02880859375,0.04175025224685669,2014
2,Arizona,7137123,4.145819187164307,2563081,1.4888451099395752,658760,0.3826611638069153,47786,0.02775797992944717,83407.234375,0.04844967648386955,2014
3,Arkansas,4411761,5.927897930145264,1551943,2.0852806568145748,478104,0.6424082517623901,137966,0.18537911772727966,81667.1328125,0.10973269492387773,2014
4,California,68892072,7.165300369262695,26706188,2.7776470184326167,5182384,0.5390074253082275,1042184,0.1083950772881508,677665.625,0.07048238813877106,2014
5,Colorado,8060420,6.0621299743652335,2144389,1.612765192985535,478980,0.3602342009544373,168361,0.12662196159362793,60688.046875,0.04564263671636581,2014
6,Connecticut,8687640,10.810376167297363,1432095,1.7820128202438354,371773,0.4626119434833527,306002,0.3807704746723175,51866.7734375,0.06453989446163177,2014
7,Delaware,1832385,8.438220977783201,307848,1.4176548719406128,292436,1.346681833267212,167690,0.7722204923629761,16011.16015625,0.0737321600317955,2014
8,District of Columbia,2290288,17.657533645629886,104522,0.8058378100395203,0,0.0,0,0.0,10437.6748046875,0.08047179877758026,2014
9,Florida,24222830,5.503664016723633,6610633,1.5020004510879517,1713856,0.389404833316803,1505206,0.34199753403663635,227717.234375,0.051739580929279334,2014
10,Georgia,16563441,6.248016357421875,2497892,0.9422480463981628,1078655,0.4068873226642609,882876,0.3330360949039459,205334.71875,0.0774558037519455,2014
11,Hawaii,1843481,5.722679138183594,569970,1.7693458795547483,136682,0.4242990612983704,20822,0.06463729590177536,28455.359375,0.0883333757519722,2014
12,Idaho,1935653,4.201137065887451,555758,1.2062159776687622,84503,0.18340513110160828,121847,0.26445648074150085,19649.271484375,0.04264673963189125,2014
13,Illinois,23933484,7.7321343421936035,5063521,1.6358598470687866,1016816,0.328500360250473,678826,0.21930672228336331,256523.296875,0.08287438005208969,2014
14,Indiana,8643916,5.200248718261719,2281517,1.3725788593292236,958748,0.576790452003479,226503,0.13626600801944733,101212.28125,0.06089011579751968,2014
15,Iowa,5517359,7.137380123138428,1521209,1.9678703546524048,352054,0.4554249942302704,138795,0.17954833805561066,59927.13671875,0.07752309739589691,2014
16,Kansas,4532902,6.009279727935791,1587725,2.104851245880127,140874,0.1867570281028748,134892,0.1788266748189926,38693.7109375,0.051296353340148926,2014
17,Kentucky,6283316,5.881508827209473,2284017,2.13795804977417,902931,0.845190167427063,142462,0.13335180282592773,96003.7265625,0.08986445516347885,2014
18,Louisiana,7295542,6.219202995300293,1471251,1.254191756248474,943835,0.8045874834060669,638712,0.5444803833961487,129757.8203125,0.11061415821313858,2014
19,Maine,2290535,8.453936576843263,431105,1.5911279916763306,112764,0.4161908626556397,109150,0.4028522670269013,33982.1953125,0.12542194128036502,2014
20,Maryland,10459539,7.3280863761901855,3036921,2.1277055740356445,490603,0.3437227308750153,304463,0.21331065893173215,69009.3984375,0.04834886640310288,2014
21,Massachusetts,13998163,9.491463661193848,1776460,1.204529881477356,908508,0.6160144805908203,748445,0.5074836611747742,127018.546875,0.08612501621246338,2014
22,Michigan,15328155,6.589707851409912,4715173,2.0270941257476807,1108190,0.4764205813407898,204733,0.08801651000976562,224288.40625,0.09642355144023897,2014
23,Minnesota,9987116,7.341189861297607,2706146,1.9891959428787231,645763,0.4746784567832947,324120,0.2382495999336243,84248.8515625,0.06192846968770027,2014
24,Mississippi,4077663,5.354270935058594,1592685,2.0913124084472656,311972,0.40964215993881226,247798,0.3253769874572754,183636.875,0.24112871289253235,2014
25,Missouri,8996869,6.148110866546631,1453645,0.9933645725250244,425038,0.2904544770717621,353074,0.2412770688533783,142623.5625,0.09746340662240982,2014
26,Montana,1598517,6.667794227600098,462347,1.9285591840744016,72585,0.302769273519516,40880,0.17052020132541654,16818.470703125,0.07015383988618851,2014
27,Nebraska,3728426,7.474581718444824,1261681,2.529361724853516,151696,0.30411335825920105,164605,0.32999274134635925,30818.099609375,0.06178274750709534,2014
28,Nevada,3944218,5.543252468109131,795280,1.1176962852478027,372990,0.5242047309875488,136410,0.19171229004859924,29532.96484375,0.04150598868727684,2014
29,New Hampshire,2737576,9.824142456054688,230909,0.8286466002464294,158005,0.5670212507247925,58262,0.20908066630363464,16817.54296875,0.06035191193223,2014
30,New Jersey,24349836,11.593923568725586,2523435,1.201507568359375,1111637,0.529294490814209,986942,0.4699222445487976,154944.875,0.07377540320158005,2014
31,New Mexico,3049749,5.859290599822997,1603530,3.0807611942291264,199306,0.3829140663146973,193911,0.3725489675998688,45717.45703125,0.08783406764268875,2014
32,New York,56656536,12.767292976379395,8618085,1.942046284675598,2005495,0.4519291818141937,-18342,-0.004133286420255899,529557.375,0.11933334916830066,2014
